1,株式会社共和
2,シスメックスＲＡ株式会社
4,株式会社マシンエンジニアリング
5,株式会社アイ・テック
6,株式会社安曇富士
8,赤田工業株式会社
11,株式会社ＩＨＩシバウラ
12,株式会社泉精器製作所
16,株式会社エルク
21,富士電機ﾊﾟﾜｰｾﾐｺﾝﾀﾞｸﾀ株式会社
24,株式会社カワベ
26,株式会社エスエヌ精機
27,カイシン工業株式会社
30,株式会社北澤電機製作所
32,共立継器株式会社戸倉
35,黒田精工株式会社
37,株式会社ファインクロダ
42,栄通信工業株式会社
43,ナンシン機工株式会社
46,山洋電気株式会社
49,日本電産ｻﾝｷｮｰ株式会社CRD製造
50,日本電産サンキョー株式会社
51,日本電産サンキョー（株）ASR購買
55,栄工業株式会社
58,新日本ﾌｧｽﾅｰ工業株式会社
59,シナノケンシ株式会社
60,シチズンマシナリーミヤノ株式会社
63,有限会社伊東製作所
68,株式会社セコニック
74,株式会社タカネ
78,有限会社トクデン産業
79,タカノ株式会社
80,咲電機株式会社
81,大明精機株式会社
83,株式会社太信
84,日東工業株式会社
86,株式会社都筑製作所
88,帝国通信工業株式会社
90,大和電機工業株式会社
92,東京精電株式会社
93,東洋計器株式会社
95,株式会社東京マイクロ
97,長野精工株式会社
100,野村ユニソン株式会社
106,株式会社ＩＨＩターボ
107,日邦電機株式会社
109,日精電機株式会社
110,日東光学株式会社諏訪
111,日東光学株式会社松川
112,セルスター工業株式会社
113,平林家具
115,株式会社八光電機
118,山洋電気ﾃｸﾉｻｰﾋﾞｽ株式会社
119,株式会社ビーシーフォー
123,GE富士電機メーター株式会社
125,富士電機株式会社
131,シチズンシステムズ株式会社
136,安曇野本多通信工業株式会社
138,マルヤス機械株式会社
139,松山株式会社
140,丸子警報器株式会社
141,有限会社丸高製作所
144,シチズンマシナリーミヤノ
146,みさとプレシジョン株式会社
150,モガミ電線株式会社
151,森川産業株式会社
152,株式会社ヤマトインテック
153,株式会社ヤマシナ
158,株式会社ライト光機製作所
163,三星ダイヤモンド工業株式会社
164,リコーエレメックス株式会社
167,三井物産プラスチック株式会社
171,アジア電子工業株式会社
174,株式会社スミトロニクス
175,株式会社ユニオン電器
179,株式会社ＳＵＷＡオプトロニクス
